ds,yhat,yhat_lower,yhat_upper
2020-09-18,7.33182674704888,6.303688572653175,8.359754266406496
2020-09-21,7.262638291593122,6.247223584815632,8.294032395608387
2020-09-22,7.261495017926789,6.218311197479801,8.239064085494208
2020-09-23,7.245507123819314,6.240766307899461,8.313058388243375
2020-09-24,7.221769279321461,6.276490117847638,8.236420555448714
2020-09-25,7.182203443002503,6.163903016098235,8.204096791469754
2020-09-28,7.131349601767938,6.095863184960219,8.168623384969841
2020-09-29,7.137997282988834,6.195592816880628,8.135439371505154
2020-09-30,7.130327042881466,6.061441901756378,8.145307894001219
2020-10-01,7.11523942662874,6.143870617495342,8.1010293131497
2020-10-02,7.084466046289239,6.043515058452957,8.164083169446993
2020-10-05,7.059100782142987,6.001080953280101,8.071658752506723
2020-10-06,7.073450306145873,6.0770348156485845,8.08244442715179
2020-10-07,7.072887859664339,6.032578012003269,8.005315810969615
2020-10-08,7.064231311296073,6.077849216769963,8.054412091768825
2020-10-09,7.039154361032929,6.003634195975559,8.059107769308072
2020-10-13,7.043246150298436,6.0227133483383435,8.06666072745876
2020-10-14,7.044639460313051,5.982814038408888,8.053200518203964
2020-10-15,7.03730718927485,6.095823803222412,8.067549614613226
2020-10-16,7.012991151644653,5.870509384125791,7.996645863546021
2020-10-19,6.999731330868535,5.885990938637726,8.089607389240717
2020-10-20,7.015971885429982,5.970917947647361,8.020409142689841
2020-10-21,7.01640017482882,5.9530222580880086,8.046036630710066
2020-10-22,7.0079449241340885,5.98610134953135,7.930611093752185
2020-10-23,6.982388379241323,6.010199195804025,8.094107809593257
2020-10-26,6.964915930819072,5.994694366781172,8.023700167489352
2020-10-27,6.9795960378523505,6.00081001275348,7.929162409356544
2020-10-28,6.978360071325194,5.9312633772432,8.026333478038092
2020-10-29,6.968106689190807,5.930399516833794,8.030329639585918
2020-10-30,6.940581118873938,5.971514795036146,7.9885645551982
2020-11-03,6.927361052993121,5.946479224598861,7.921770043300645
2020-11-04,6.9226810960024485,5.987631906465923,7.939795792301438
2020-11-05,6.908588064971494,5.892836230059663,7.896079803041377
2020-11-06,6.876812338904473,5.864733634007177,7.884197667051
2020-11-09,6.836801759708201,5.898881014749412,7.860187101067936
2020-11-10,6.842609756362947,5.901612875728988,7.868871441559176
2020-11-11,6.831830093276437,5.8071390102938425,7.841832459549837
2020-11-12,6.811394060008187,5.8087577565621595,7.826665124706419
2020-11-13,6.773098571506918,5.717611052343447,7.82168915057103
2020-11-16,6.713218921864822,5.707495551246585,7.694137348427393
2020-11-17,6.7125601740383996,5.664422583998641,7.721094127018748
2020-11-18,6.695515919042288,5.627747322903045,7.711422548083153
2020-11-19,6.6690820879821056,5.60057317478572,7.622958125032483
2020-11-23,6.550460634470628,5.475608502133943,7.575147272463683
2020-11-24,6.5456634856650515,5.531229670095951,7.561571717917602
2020-11-25,6.524845031663762,5.472445076777534,7.493898919167378
2020-11-26,6.494957855437042,5.412497317098748,7.493316034446853
2020-11-27,6.447793174588271,5.424633650729002,7.408995684898983
2020-11-30,6.364327144340484,5.340608818718506,7.285382809969564
2020-12-01,6.356525764756031,5.449605162846111,7.413033475534254
2020-12-02,6.33249805104936,5.355866224714901,7.356885287281637
2020-12-03,6.299093526050017,5.3392000638983586,7.3203111930849944
2020-12-04,6.248006511811314,5.2538841287386635,7.1960253602104824
2020-12-07,6.149556287183541,5.152199527425785,7.111603138634497
2020-12-08,6.135513679564665,5.082501726611763,7.096142886917575
2020-12-09,6.104590671677023,5.119984872239806,7.101875222338503
2020-12-10,6.063657715994088,5.044347279276454,7.061042948794152
2020-12-11,6.004458824858537,4.981429466370803,7.040708781318091
2020-12-14,5.879108760756226,4.819872880440694,6.858363385552288
2020-12-15,5.855697770311401,4.825816771023716,6.86182629819294
2020-12-16,5.815495275194982,4.832514247534405,6.804600180244575
2020-12-17,5.765576862802088,4.79149871189504,6.794460232161152
2020-12-18,5.697906572583915,4.691586133860938,6.6528258212176405
2020-12-21,5.552538947494611,4.484402503806069,6.51246690791483
2020-12-22,5.525021390325127,4.494795424169107,6.516284502366716
2020-12-23,5.482355488905163,4.391287963529771,6.48622253999886
2020-12-28,5.237334739194097,4.190370501385809,6.2305098808216135
2020-12-29,5.220106196205814,4.15947710260932,6.247457357694135
2020-12-30,5.189993241768508,4.138135644835278,6.23577313901891
2021-01-04,5.03756851744326,3.9857709886774857,6.071139983089632
2021-01-05,5.043433997460816,3.9793042549653896,6.09585762209013
2021-01-06,5.037318890174497,4.027270652438042,6.050198036189564
2021-01-07,5.026098534365015,4.000440500416425,6.04446848067807
2021-01-08,5.001453716678718,3.9938478612631676,6.015636128802273
2021-01-11,5.007139274872884,4.046385726039906,6.028292416448633
2021-01-12,5.035631564606948,3.992649201195391,6.041670986163788
2021-01-13,5.050834328335875,4.001687771683009,5.952580877202462
2021-01-14,5.059370625146454,4.047199628467589,6.052671446326754
2021-01-15,5.0527035482030715,4.044628529868094,6.01436890965425
2021-01-18,5.100075366435172,4.06487804664322,6.080366745841544
2021-01-19,5.138075459368784,4.063130623113028,6.0962313905471035
2021-01-20,5.160552732438721,4.1725558996661425,6.247381932158768
2021-01-21,5.174173231669975,4.2125375353325625,6.260017633823844
2021-01-22,5.170484492624017,4.231236200141839,6.251950542461011
2021-01-26,5.249624439447973,4.254289580420086,6.287886715546218
2021-01-27,5.266967953281435,4.304320121405447,6.224751948777338
2021-01-28,5.274467016737345,4.216688024369229,6.256252583350446
2021-01-29,5.263901107086358,4.235282830686017,6.174349855175926
