ds,yhat,yhat_lower,yhat_upper
2018-01-02,2.3748838285847764,1.2952083909267436,3.4481985167327345
2018-01-03,2.368315428301958,1.172289748966071,3.5264298020129323
2018-01-04,2.3937685807147657,1.187057323286596,3.4746447337306945
2018-01-05,2.3978190984802734,1.288045955618573,3.5536092074322285
2018-01-08,2.4004605456683006,1.2996217639376846,3.586850772697372
2018-01-09,2.3927194863029366,1.1919893338730139,3.5273662275101696
2018-01-10,2.3859798505579226,1.2757598817750786,3.5566697685939093
2018-01-11,2.4108492467795313,1.3013573510551277,3.473151802965284
2018-01-12,2.41396271690424,1.372157814226394,3.5928116985028913
2018-01-15,2.412303906713168,1.2601115855741014,3.5346605671252096
2018-01-16,2.4028445705344077,1.207992116367861,3.4793555179178846
2018-01-17,2.394345336401012,1.2844430854742295,3.5041382329366124
2018-01-18,2.4174689125187974,1.3313853374507851,3.5612357914892625
2018-01-19,2.418900229128828,1.2880654258027835,3.4044203414722984
2018-01-22,2.41298284355263,1.3067963004624075,3.5261369690410445
2018-01-23,2.40246815973862,1.1931534561100146,3.4859734880064503
2018-01-24,2.393129275719479,1.2393465072322856,3.4563277447886933
2018-01-25,2.4156391939281936,1.257016004805788,3.515706098940727
2018-01-26,2.416687194704316,1.296427317292377,3.5380395662030466
2018-01-29,2.4109707399374134,1.239174580398003,3.564068549566731
2018-01-30,2.400943659705133,1.2459075612474304,3.5442412717879677
2018-01-31,2.3922811898413228,1.2800647372839566,3.5404271344976372
2018-02-01,2.4156411647756157,1.3725066993720856,3.5386840487639146
2018-02-02,2.417697224528835,1.3133356364053694,3.503568256170703
2018-02-05,2.4158011214299355,1.2652188865361857,3.4681191277274657
2018-02-06,2.407266291444087,1.3495571326931615,3.456425256282692
2018-02-07,2.4001846678542114,1.2977014680486603,3.5672493732720967
2018-02-08,2.4252029143068414,1.3325044112994289,3.5965024997522193
2018-02-09,2.428983952179634,1.3120230867313512,3.594313571249431
2018-02-14,2.4206839510775886,1.2858390529160393,3.467635473884948
2018-02-15,2.4475553197543514,1.398765339748137,3.557362793495114
2018-02-16,2.453143537872128,1.3467849433242716,3.5690752478187373
2018-02-19,2.4615407153429305,1.3588111387931503,3.656114499161414
