Date,VALE3.SA,PETR4.SA,ITUB4.SA,ABEV3.SA
2018-01-02,24.6086368560791,4.793344974517822,21.789348602294922,16.044788360595703
2018-01-03,24.46117401123047,4.836789131164551,21.938322067260742,16.081771850585938
2018-01-04,24.561445236206055,4.8454766273498535,22.395160675048828,15.99300479888916
2018-01-05,24.944854736328125,4.8744401931762695,22.459714889526367,16.052183151245117
2018-01-08,25.49931526184082,4.932365894317627,22.385238647460938,16.022594451904297
2018-01-09,25.404935836791992,4.932365894317627,22.14191436767578,15.97821044921875
2018-01-10,25.051029205322266,4.865751266479492,22.06742286682129,15.97821044921875
2018-01-11,25.540603637695312,4.996084690093994,22.52922821044922,16.163143157958984
2018-01-12,25.688064575195312,5.010565280914307,22.509370803833008,15.97821044921875
2018-01-15,25.640872955322266,5.0250468254089355,22.648412704467773,16.140949249267578
2018-01-16,24.95075035095215,5.111936092376709,22.856969833374023,16.20012855529785
2018-01-17,25.452123641967773,5.317572593688965,23.234363555908203,16.296293258666992
2018-01-18,25.281068801879883,5.277023792266846,23.179738998413086,16.214923858642578
2018-01-19,25.292863845825195,5.288606643676758,23.368431091308594,16.274099349975586
2018-01-22,25.157197952270508,5.349430084228516,23.949411392211914,16.20012855529785
2018-01-23,24.142650604248047,5.2828145027160645,23.860031127929688,16.140949249267578
2018-01-24,24.64402961730957,5.601406097412109,25.012069702148438,16.192731857299805
2018-01-25,24.64402961730957,5.601406097412109,25.012069702148438,16.192731857299805
2018-01-26,24.437578201293945,5.772286891937256,26.26837921142578,16.185335159301758
2018-01-29,24.70890998840332,5.749119281768799,25.667537689208984,16.155744552612305
2018-01-30,24.46117401123047,5.6448516845703125,25.56822967529297,16.177936553955078
2018-01-31,24.44937515258789,5.7056732177734375,25.950576782226562,16.237117767333984
2018-02-01,24.649930953979492,5.943166255950928,26.08221435546875,16.496850967407227
2018-02-02,24.06597137451172,5.783872604370117,25.754384994506836,16.333587646484375
2018-02-05,23.800539016723633,5.5145182609558105,24.85037612915039,16.088699340820312
2018-02-06,25.051029205322266,5.7896647453308105,25.74444007873535,16.044170379638672
2018-02-07,24.602737426757812,5.630369186401367,25.13349151611328,16.044170379638672
2018-02-08,24.531953811645508,5.5174150466918945,25.009319305419922,16.073854446411133
2018-02-09,24.77379608154297,5.4363179206848145,25.073898315429688,15.947696685791016
2018-02-14,26.254322052001953,5.575340747833252,26.156719207763672,16.504270553588867
2018-02-15,27.10371208190918,5.618784427642822,26.16168785095215,16.548799514770508
2018-02-16,27.150901794433594,5.624575614929199,25.247739791870117,16.64527130126953
2018-02-19,27.398639678955078,5.807042598724365,25.04905891418457,16.57848358154297
2018-02-20,26.844175338745117,5.919998645782471,25.664976119995117,16.853059768676758
2018-02-21,26.42538070678711,5.864968776702881,26.002731323242188,16.62300682067871
2018-02-22,26.938554763793945,6.006886959075928,26.14678192138672,16.637845993041992
2018-02-23,27.18039321899414,6.116945266723633,26.325603485107422,16.303903579711914
2018-02-26,27.958995819091797,6.232795715332031,26.29579734802246,16.437484741210938
2018-02-27,27.917707443237305,6.22700309753418,25.903396606445312,16.48942756652832
2018-02-28,26.572843551635742,6.215419292449951,25.02420997619629,16.3261661529541
2018-03-01,26.21893310546875,6.090876579284668,25.38681411743164,16.57848358154297
2018-03-02,25.80603790283203,6.229899883270264,25.52092933654785,16.7565860748291
2018-03-05,25.77654266357422,6.40657377243042,25.883522033691406,16.712060928344727
2018-03-06,25.65267562866211,6.342855930328369,25.789148330688477,16.8975887298584
2018-03-07,25.27516746520996,6.276238918304443,25.754384994506836,17.120210647583008
2018-03-08,24.455272674560547,6.284929275512695,25.575571060180664,17.290895462036133
2018-03-09,24.832782745361328,6.4847731590271,25.928241729736328,17.394790649414062
2018-03-12,25.045129776000977,6.4673967361450195,26.221288681030273,17.795520782470703
2018-03-13,24.85047721862793,6.403676509857178,26.007709503173828,17.78067970275879
2018-03-14,25.12770652770996,6.48187780380249,25.42655372619629,18.01072883605957
2018-03-15,25.009735107421875,6.171973705291748,25.545764923095703,17.721311569213867
2018-03-16,24.95075035095215,6.206730365753174,25.44146156311035,17.520946502685547
2018-03-19,24.242929458618164,6.061915397644043,24.89507293701172,17.654523849487305
2018-03-20,24.537851333618164,6.128529071807861,24.97454833984375,17.58031463623047
2018-03-21,25.068721771240234,6.3862996101379395,24.87520980834961,17.72873306274414
2018-03-22,24.732501983642578,6.290722370147705,24.795730590820312,17.817787170410156
2018-03-23,24.537851333618164,6.299410820007324,24.914949417114258,17.750995635986328
2018-03-26,24.77379608154297,6.38050651550293,25.222900390625,17.810365676879883
2018-03-27,24.10135841369629,6.209625244140625,24.919906616210938,17.691627502441406
2018-03-28,24.502458572387695,6.1401143074035645,25.14839744567871,17.676786422729492
2018-03-29,24.897663116455078,6.200937271118164,25.486156463623047,17.8623104095459
2018-04-02,25.363645553588867,6.053226470947266,25.357011795043945,17.69904899597168
2018-04-03,25.286964416503906,5.998196125030518,25.118589401245117,17.958782196044922
2018-04-04,25.09821128845215,5.9026198387146,25.282508850097656,17.95136260986328
2018-04-05,25.5111083984375,6.125633716583252,25.332168579101562,17.832630157470703
2018-04-06,25.21028709411621,6.1632866859436035,25.456344604492188,17.25379180908203
2018-04-09,25.334156036376953,5.94606351852417,24.890106201171875,17.283475875854492
2018-04-10,26.448978424072266,6.198040008544922,25.014280319213867,17.661945343017578
2018-04-11,26.331003189086914,6.313892841339111,25.42655372619629,17.69904899597168
2018-04-12,26.431278228759766,6.279137134552002,25.65006446838379,17.283475875854492
