ds,yhat,yhat_lower,yhat_upper
2018-01-02,4.825659357147301,2.786921839225609,7.1085941014302145
2018-01-03,4.8265779825711235,2.842673851953555,6.996767532350115
2018-01-04,4.873812040349987,2.717539197223465,7.100396406780647
2018-01-05,4.913100071877039,2.923121118601893,7.035129229602558
2018-01-08,4.990677598729456,2.8146897308903007,7.257775636286129
2018-01-09,5.034409463281064,3.0293736345191724,7.103523413063414
2018-01-10,5.05177727356619,2.935139608017824,7.167510551931598
2018-01-11,5.1097761218231526,2.861668305035633,7.455323179727122
2018-01-12,5.153521150068978,3.08590142813679,7.3830846039864495
2018-01-15,5.202465878841991,3.143419495610656,7.36396545642023
2018-01-16,5.222069906433512,2.932737466111119,7.3362757498093165
2018-01-17,5.208164373437167,2.9966154233710065,7.374717358462072
2018-01-18,5.228102826046203,2.985247318964375,7.425899578137042
2018-01-19,5.2275354799150815,2.959002145158749,7.321723656311948
2018-01-22,5.113799097864096,3.165724945207474,7.214559949806888
2018-01-23,5.072535750146726,3.009083299799976,7.175544166330582
2018-01-24,4.996342926529582,2.7817550653158754,7.061007299528392
2018-01-25,4.95381517613505,2.8328128532871584,7.181304411632874
2018-01-26,4.891868423488593,2.7830926092309034,6.977726150385831
2018-01-29,4.6128648507494345,2.606723395833184,6.764928766730923
2018-01-30,4.526593900720216,2.416695321673867,6.893198788097206
2018-01-31,4.412061860443749,2.299563689849608,6.614993978392917
2018-02-01,4.338623099766729,2.2166331281513743,6.421986703453703
2018-02-02,4.2537780374186385,2.1823273134634,6.57087982017085
2018-02-05,3.9570660593065208,1.8317315141717152,6.147542580030912
2018-02-06,3.881826730136811,1.8842151847776385,6.043625285762825
2018-02-07,3.786246612303505,1.5744630868579148,6.185498929879241
2018-02-08,3.7390572438571343,1.521409102923166,5.813560600088224
2018-02-09,3.6869598822423058,1.3538042983175673,5.896409712170967
2018-02-14,3.443302966943804,1.353588133865676,5.659628279921304
2018-02-15,3.4443138052767885,1.2356915004172355,5.5977324168281655
2018-02-16,3.4385898664115064,1.1674744942618915,5.606861169584826
2018-02-19,3.3857035373721933,1.30962027779806,5.330873081191209
2018-02-20,3.3867819625661006,1.0991456327319395,5.4349468058982655
2018-02-21,3.361723355968948,1.150358844143822,5.435773343206848
2018-02-22,3.3775244922770953,1.145179622771522,5.528545712790458
2018-02-23,3.3793893428841404,1.274742418699272,5.6560758886855576
2018-02-26,3.3068285679855487,1.0791879931437256,5.502896251287069
2018-02-27,3.2884795512582037,1.062236663588985,5.435762619237765
2018-02-28,3.238669069436086,1.0994637945560932,5.412866956420259
2018-03-01,3.2253046810477874,1.1426270593418435,5.428227986739057
2018-03-02,3.1946303027191636,1.0309671530114868,5.262652360142643
2018-03-05,3.015916131330547,1.0112922282297208,5.259700122069664
2018-03-06,2.9634450839744453,0.8961049678149718,5.072020776897428
2018-03-07,2.882180825399798,0.5537966725599935,4.95079118415217
2018-03-08,2.841172114699211,0.6347570350891018,4.898563343813098
2018-03-09,2.78770556739455,0.5596707043140845,4.8842547503483
2018-03-12,2.5781109908856568,0.5384454340261111,4.832520082284958
2018-03-13,2.5298075569932688,0.4494509594024629,4.658362897673833
2018-03-14,2.4604537752148428,0.3378753062514335,4.607979916677382
2018-03-15,2.439107741096093,0.3005661249190879,4.490953363064283
2018-03-16,2.4128660555265906,0.30607851771464234,4.700752183863928
2018-03-19,2.325614856935966,0.2353769042958536,4.559893393679665
2018-03-20,2.329256371047758,0.19788371985832784,4.480505253696774
2018-03-21,2.315897515126557,0.07653793063416509,4.3199494479926726
2018-03-22,2.3535320965803277,0.0741593965113646,4.46548569212462
2018-03-23,2.3881382849117943,0.28355024864145567,4.499754003483911
2018-03-26,2.4833231027265943,0.5363568451738514,4.5824467993704046
2018-03-27,2.544154970245528,0.3972214922331883,4.634617395905303
2018-03-28,2.5845820683357186,0.41239170444881695,4.643179462672675
2018-03-29,2.671818809319433,0.615214428957091,4.8574883239921585
2018-04-02,2.9481322981539018,0.8452366620320249,5.077880670283786
2018-04-03,3.0316561004975773,0.924567556535735,5.067999282954786
2018-04-04,3.0894494871834444,0.9603696796644413,5.318043069939648
2018-04-05,3.18915629231353,1.0548239084871394,5.135426602385303
2018-04-06,3.2767073144226053,1.1135778817235453,5.756636814646172
2018-04-09,3.479888123172183,1.3257201249964334,5.579071206420384
2018-04-10,3.5624180211391243,1.4858585633308345,5.539302181045572
2018-04-11,3.6192811303673986,1.5103519929475597,5.703563813346457
2018-04-12,3.719082624153453,1.570159899654929,5.8749803244246825
2018-04-13,3.8086683740916865,1.608984882893329,5.822434773608974
2018-04-16,4.0374088182158685,1.9492626287301564,6.1009086230583005
2018-04-17,4.136913835862154,2.186220083475268,6.3226819171603115
2018-04-18,4.215569134696538,2.040055655781427,6.396470658068834
2018-04-19,4.342061828460039,2.255609369758005,6.527430546594073
2018-04-20,4.463125220707819,2.2213034858698815,6.67781477629843
2018-04-23,4.810969004233998,2.547525537563224,6.8557565533169695
2018-04-24,4.956126312787678,2.833333373165151,7.131731149781057
2018-04-25,5.081862937680051,3.0820748797974375,7.3119987148126215
2018-04-26,5.25573631139761,3.137347503502215,7.405913329905622
2018-04-27,5.423253147576531,3.330223523004119,7.543445940772847
2018-04-30,5.891846779255741,3.663751502032322,7.942491555792169
2018-05-02,6.214738024747978,4.11293560133274,8.392541292935654
2018-05-03,6.4024698842877505,4.351138892668289,8.5247144187192
2018-05-04,6.574417743522403,4.261508686962969,8.592722674392371
2018-05-07,6.992688845346762,4.7537181196768445,9.135556425567893
